Date,min,mean,max,Change
2018-07-08,10.846,12.480777777777778,15.569,4.723000000000001
2018-07-09,8.779,11.390104166666667,14.325,5.545999999999999
2018-07-10,8.282,10.5379375,13.269,4.987
2018-07-11,8.382,11.363395833333334,16.427,8.045
2018-07-12,9.571,13.439333333333334,17.95,8.379
2018-07-13,10.651,14.4021875,18.331,7.68
2018-07-14,10.455,14.082958333333334,18.426,7.970999999999998
2018-07-15,9.866,13.314145833333333,18.045,8.179000000000002
2018-07-16,10.161,12.929229166666667,16.141,5.979999999999999
2018-07-17,10.259,12.710708333333333,15.091,4.831999999999999
2018-07-18,10.455,12.628875,15.282,4.827
2018-07-19,11.819,14.289854166666666,16.808,4.988999999999999
2018-07-20,13.269,16.108479166666665,19.377,6.107999999999999
2018-07-21,12.883,15.130729166666667,18.236,5.3530000000000015
2018-07-22,12.11,15.5151875,19.377,7.2669999999999995
2018-07-23,12.11,13.983479166666667,16.713,4.6030000000000015
2018-07-24,10.846,13.423041666666666,15.951,5.105
2018-07-25,11.236,13.154041666666666,16.046,4.809999999999999
2018-07-26,10.748,12.477291666666666,15.473,4.725000000000001
2018-07-27,9.866,11.209395833333334,17.665,7.7989999999999995
2018-07-28,9.866,11.3048125,14.517,4.651
2018-07-29,10.553,11.753520833333333,15.187,4.633999999999999
2018-07-30,10.259,12.636395833333333,15.951,5.692
2018-07-31,10.944,13.201645833333334,16.713,5.769
2018-08-01,11.431,13.920020833333334,18.616,7.1850000000000005
2018-08-02,10.259,12.616729166666667,15.282,5.023
2018-08-03,10.063,11.8086875,15.187,5.123999999999999
2018-08-04,10.455,11.663625,14.709,4.254
2018-08-05,10.651,11.815166666666666,15.282,4.631
2018-08-06,10.651,11.955354166666666,14.804,4.1530000000000005
2018-08-07,10.651,12.051958333333333,15.569,4.918000000000001
2018-08-08,10.748,12.3981875,16.713,5.965000000000002
2018-08-09,10.748,12.555604166666667,15.569,4.8210000000000015
2018-08-10,10.846,12.7800625,15.282,4.436
2018-08-11,12.11,13.461270833333334,16.903,4.792999999999999
2018-08-12,11.819,14.001833333333334,17.284,5.464999999999998
2018-08-13,12.207,15.713270833333333,19.187,6.98
2018-08-14,14.134,16.995354166666665,18.996,4.861999999999998
2018-08-15,16.046,17.670604166666667,18.806,2.7600000000000016
2018-08-16,15.569,18.397708333333334,20.329,4.76
2018-08-17,17.189,18.79639583333333,20.71,3.521000000000001
