"Time"	"Temperature  (*C)"	"Temperature  (*F)"	"A-D  (1-255)"
34469.5416782	6.43	43.58	185
34469.5625116	6.27	43.30	186
34469.5833449	6.12	43.02	187
34469.6041782	6.12	43.02	187
34469.6250116	6.12	43.02	187
34469.6458449	6.12	43.02	187
34469.6666782	6.12	43.02	187
34469.6875116	6.12	43.02	187
34469.7083449	6.43	43.58	185
34469.7291782	6.27	43.30	186
34469.7500116	7.05	44.70	181
34469.7708449	7.21	44.98	180
34469.7916782	7.21	44.98	180
34469.8125116	7.05	44.70	181
34469.8333449	7.36	45.26	179
34469.8541782	7.21	44.98	180
34469.8750116	7.05	44.70	181
34469.8958449	7.21	44.98	180
34469.9166782	7.52	45.54	178
34469.9375116	7.36	45.26	179
34469.9583449	7.67	45.82	177
34469.9791782	7.36	45.26	179
34470.0000116	7.05	44.70	181
34470.0208449	6.74	44.14	183
34470.0416782	6.74	44.14	183
34470.0625116	6.43	43.58	185
34470.0833449	6.43	43.58	185
34470.1041782	6.43	43.58	185
34470.1250116	6.27	43.30	186
34470.1458449	6.27	43.30	186
34470.1666782	6.12	43.02	187
34470.1875116	6.12	43.02	187
34470.2083449	6.12	43.02	187
34470.2291782	6.12	43.02	187
34470.2500116	6.12	43.02	187
34470.2708449	6.12	43.02	187
34470.2916782	6.43	43.58	185
34470.3125116	6.43	43.58	185
34470.3333449	6.43	43.58	185
34470.3541782	6.43	43.58	185
34470.3750116	6.58	43.86	184
34470.3958449	6.58	43.86	184
34470.4166782	6.43	43.58	185
34470.4375116	6.43	43.58	185
34470.4583449	6.27	43.30	186
34470.4791782	6.43	43.58	185
34470.5000116	6.43	43.58	185
34470.5208449	6.43	43.58	185
34470.5416782	6.43	43.58	185
34470.5625116	6.12	43.02	187
34470.5833449	6.12	43.02	187
34470.6041782	6.12	43.02	187
34470.6250116	6.12	43.02	187
34470.6458449	5.96	42.73	188
34470.6666782	5.80	42.45	189
34470.6875116	5.96	42.73	188
34470.7083449	5.96	42.73	188
34470.7291782	5.96	42.73	188
34470.7500116	5.80	42.45	189
34470.7708449	6.12	43.02	187
34470.7916782	6.27	43.30	186
34470.8125116	6.43	43.58	185
34470.8333449	6.27	43.30	186
34470.8541782	6.27	43.30	186
34470.8750116	6.27	43.30	186
34470.8958449	5.96	42.73	188
34470.9166782	6.43	43.58	185
34470.9375116	6.12	43.02	187
34470.9583449	6.43	43.58	185
34470.9791782	6.43	43.58	185
34471.0000116	6.43	43.58	185
34471.0208449	6.58	43.86	184
34471.0416782	6.58	43.86	184
34471.0625116	6.43	43.58	185
34471.0833449	6.43	43.58	185
34471.1041782	6.43	43.58	185
34471.1250116	6.12	43.02	187
34471.1458449	5.96	42.73	188
34471.1666782	5.80	42.45	189
34471.1875116	5.80	42.45	189
34471.2083449	5.80	42.45	189
34471.2291782	5.64	42.17	190
34471.2500116	5.64	42.17	190
34471.2708449	5.64	42.17	190
34471.2916782	5.64	42.17	190
34471.3125116	5.49	41.89	191
34471.3333449	5.49	41.89	191
34471.3541782	5.96	42.73	188
34471.3750116	5.80	42.45	189
34471.3958449	6.27	43.30	186
34471.4166782	6.12	43.02	187
34471.4375116	6.58	43.86	184
34471.4583449	6.27	43.30	186
34471.4791782	6.27	43.30	186
34471.5000116	6.12	43.02	187
34471.5208449	6.58	43.86	184
34471.5416782	6.27	43.30	186
34471.5625116	6.12	43.02	187
34471.5833449	5.96	42.73	188
34471.6041782	5.80	42.45	189
34471.6250116	5.64	42.17	190
34471.6458449	5.80	42.45	189
34471.6666782	5.96	42.73	188
34471.6875116	5.80	42.45	189
34471.7083449	5.80	42.45	189
34471.7291782	5.33	41.61	192
34471.7500116	5.33	41.61	192
34471.7708449	5.33	41.61	192
34471.7916782	5.33	41.61	192
34471.8125116	5.49	41.89	191
34471.8333449	5.96	42.73	188
34471.8541782	6.27	43.30	186
34471.8750116	5.80	42.45	189
34471.8958449	5.64	42.17	190
34471.9166782	5.49	41.89	191
34471.9375116	5.49	41.89	191
34471.9583449	5.49	41.89	191
34471.9791782	5.64	42.17	190
34472.0000116	5.96	42.73	188
34472.0208449	5.96	42.73	188
34472.0416782	5.96	42.73	188
34472.0625116	5.96	42.73	188
34472.0833449	6.12	43.02	187
34472.1041782	6.12	43.02	187
34472.1250116	5.96	42.73	188
34472.1458449	6.12	43.02	187
34472.1666782	6.12	43.02	187
34472.1875116	6.12	43.02	187
34472.2083449	5.96	42.73	188
34472.2291782	5.96	42.73	188
34472.2500116	5.96	42.73	188
34472.2708449	5.64	42.17	190
34472.2916782	5.49	41.89	191
34472.3125116	5.64	42.17	190
34472.3333449	5.64	42.17	190
34472.3541782	5.64	42.17	190
34472.3750116	5.80	42.45	189
34472.3958449	5.96	42.73	188
34472.4166782	5.96	42.73	188
34472.4375116	6.43	43.58	185
34472.4583449	6.27	43.30	186
34472.4791782	6.12	43.02	187
34472.5000116	5.96	42.73	188
34472.5208449	5.96	42.73	188
34472.5416782	6.12	43.02	187
34472.5625116	5.96	42.73	188
34472.5833449	5.80	42.45	189
34472.6041782	5.80	42.45	189
34472.6250116	5.64	42.17	190
34472.6458449	5.64	42.17	190
34472.6666782	5.80	42.45	189
34472.6875116	5.80	42.45	189
34472.7083449	5.80	42.45	189
34472.7291782	5.64	42.17	190
34472.7500116	5.96	42.73	188
34472.7708449	5.96	42.73	188
34472.7916782	5.80	42.45	189
34472.8125116	5.80	42.45	189
34472.8333449	5.80	42.45	189
34472.8541782	6.12	43.02	187
34472.8750116	6.12	43.02	187
34472.8958449	5.96	42.73	188
34472.9166782	5.96	42.73	188
34472.9375116	6.12	43.02	187
34472.9583449	5.96	42.73	188
34472.9791782	5.96	42.73	188
34473.0000116	5.80	42.45	189
34473.0208449	5.80	42.45	189
34473.0416782	5.96	42.73	188
34473.0625116	5.96	42.73	188
34473.0833449	6.12	43.02	187
34473.1041782	5.96	42.73	188
34473.1250116	5.96	42.73	188
34473.1458449	5.80	42.45	189
34473.1666782	5.64	42.17	190
34473.1875116	5.80	42.45	189
34473.2083449	5.49	41.89	191
34473.2291782	5.49	41.89	191
