Serial Number:     357302     --     Series: Temperature   (*C)

Date Time	Temperature   (*C)
09/05/01 12:00:01.0	22.55
09/05/01 12:30:01.0	22.72
09/05/01 13:00:01.0	22.89
09/05/01 13:30:01.0	23.23
09/05/01 14:00:01.0	23.23
09/05/01 14:30:01.0	23.23
09/05/01 15:00:01.0	23.39
09/05/01 15:30:01.0	23.39
09/05/01 16:00:01.0	23.57
09/05/01 16:30:01.0	23.74
09/05/01 17:00:01.0	23.39
09/05/01 17:30:01.0	23.39
09/05/01 18:00:01.0	23.23
09/05/01 18:30:01.0	23.23
09/05/01 19:00:01.0	23.23
09/05/01 19:30:01.0	23.06
09/05/01 20:00:01.0	22.89
09/05/01 20:30:01.0	22.72
09/05/01 21:00:01.0	22.55
09/05/01 21:30:01.0	22.38
09/05/01 22:00:01.0	22.38
09/05/01 22:30:01.0	22.21
09/05/01 23:00:01.0	22.55
09/05/01 23:30:01.0	22.38
09/06/01 00:00:01.0	22.21
09/06/01 00:30:01.0	22.04
09/06/01 01:00:01.0	21.88
09/06/01 01:30:01.0	21.71
09/06/01 02:00:01.0	21.54
09/06/01 02:30:01.0	21.38
09/06/01 03:00:01.0	21.21
09/06/01 03:30:01.0	21.04
09/06/01 04:00:01.0	20.88
09/06/01 04:30:01.0	20.72
09/06/01 05:00:01.0	20.55
09/06/01 05:30:01.0	20.39
09/06/01 06:00:01.0	20.39
09/06/01 06:30:01.0	20.23
09/06/01 07:00:01.0	20.07
09/06/01 07:30:01.0	19.42
09/06/01 08:00:01.0	17.78
09/06/01 08:30:01.0	17.94
09/06/01 09:00:01.0	19.58
09/06/01 09:30:01.0	19.91
09/06/01 10:00:01.0	18.76
09/06/01 10:30:01.0	11.79
09/06/01 11:00:01.0	7.91
09/06/01 11:30:01.0	7.91
09/06/01 12:00:01.0	7.44
09/06/01 12:30:01.0	7.44
09/06/01 13:00:01.0	8.07
09/06/01 13:30:01.0	8.07
09/06/01 14:00:01.0	7.76
09/06/01 14:30:01.0	7.76
09/06/01 15:00:01.0	7.76
09/06/01 15:30:01.0	7.91
09/06/01 16:00:01.0	8.22
09/06/01 16:30:01.0	7.76
09/06/01 17:00:01.0	7.76
09/06/01 17:30:01.0	8.07
09/06/01 18:00:01.0	8.38
09/06/01 18:30:01.0	8.22
09/06/01 19:00:01.0	8.22
09/06/01 19:30:01.0	8.53
09/06/01 20:00:01.0	7.91
09/06/01 20:30:01.0	7.91
09/06/01 21:00:01.0	8.07
09/06/01 21:30:01.0	7.91
09/06/01 22:00:01.0	7.91
09/06/01 22:30:01.0	8.07
09/06/01 23:00:01.0	7.44
09/06/01 23:30:01.0	7.29
09/07/01 00:00:01.0	7.44
09/07/01 00:30:01.0	7.29
09/07/01 01:00:01.0	7.44
09/07/01 01:30:01.0	7.6
09/07/01 02:00:01.0	7.76
09/07/01 02:30:01.0	7.6
09/07/01 03:00:01.0	7.6
09/07/01 03:30:01.0	7.91
09/07/01 04:00:01.0	8.22
09/07/01 04:30:01.0	9.14
09/07/01 05:00:01.0	9.3
09/07/01 05:30:01.0	8.84
09/07/01 06:00:01.0	8.22
09/07/01 06:30:01.0	8.22
09/07/01 07:00:01.0	9.3
09/07/01 07:30:01.0	7.91
09/07/01 08:00:01.0	7.6
09/07/01 08:30:01.0	7.91
09/07/01 09:00:01.0	8.68
09/07/01 09:30:01.0	8.84
09/07/01 10:00:01.0	7.6
09/07/01 10:30:01.0	7.44
09/07/01 11:00:01.0	7.44
09/07/01 11:30:01.0	7.44
09/07/01 12:00:01.0	7.29
09/07/01 12:30:01.0	7.13
09/07/01 13:00:01.0	7.29
09/07/01 13:30:01.0	7.76
09/07/01 14:00:01.0	7.44
09/07/01 14:30:01.0	7.76
09/07/01 15:00:01.0	8.22
09/07/01 15:30:01.0	7.44
09/07/01 16:00:01.0	7.76
09/07/01 16:30:01.0	8.38
09/07/01 17:00:01.0	8.22
09/07/01 17:30:01.0	7.91
09/07/01 18:00:01.0	8.68
09/07/01 18:30:01.0	8.07
09/07/01 19:00:01.0	8.38
09/07/01 19:30:01.0	8.84
09/07/01 20:00:01.0	9.92
09/07/01 20:30:01.0	9.46
09/07/01 21:00:01.0	7.6
09/07/01 21:30:01.0	7.76
09/07/01 22:00:01.0	7.76
09/07/01 22:30:01.0	7.76
09/07/01 23:00:01.0	7.76
09/07/01 23:30:01.0	7.6
09/08/01 00:00:01.0	7.29
09/08/01 00:30:01.0	7.29
09/08/01 01:00:01.0	7.13
09/08/01 01:30:01.0	7.13
09/08/01 02:00:01.0	7.13
09/08/01 02:30:01.0	6.82
09/08/01 03:00:01.0	6.82
09/08/01 03:30:01.0	6.82
09/08/01 04:00:01.0	7.13
09/08/01 04:30:01.0	7.13
09/08/01 05:00:01.0	7.6
09/08/01 05:30:01.0	8.38
09/08/01 06:00:01.0	8.07
09/08/01 06:30:01.0	8.38
09/08/01 07:00:01.0	8.38
09/08/01 07:30:01.0	8.68
09/08/01 08:00:01.0	8.07
09/08/01 08:30:01.0	8.07
09/08/01 09:00:01.0	8.38
09/08/01 09:30:01.0	7.91
09/08/01 10:00:01.0	8.38
09/08/01 10:30:01.0	9.3
09/08/01 11:00:01.0	7.91
