"Time"	"Temperature  (*C)"	"Temperature  (*F)"	"A-D  (1-255)"
34399.4541435	8.64	47.57	172
34399.4749769	7.88	46.19	177
34399.4958102	3.69	38.65	204
34399.5166435	3.69	38.65	204
34399.5374769	3.69	38.65	204
34399.5583102	3.69	38.65	204
34399.5791435	3.69	38.65	204
34399.5999769	3.69	38.65	204
34399.6208102	3.69	38.65	204
34399.6416435	3.69	38.65	204
34399.6624769	3.69	38.65	204
34399.6833102	3.69	38.65	204
34399.7041435	3.69	38.65	204
34399.7249769	3.69	38.65	204
34399.7458102	3.69	38.65	204
34399.7666435	3.69	38.65	204
34399.7874769	3.69	38.65	204
34399.8083102	3.69	38.65	204
34399.8291435	3.69	38.65	204
34399.8499769	3.69	38.65	204
34399.8708102	3.69	38.65	204
34399.8916435	3.69	38.65	204
34399.9124769	3.69	38.65	204
34399.9333102	3.69	38.65	204
34399.9541435	3.69	38.65	204
34399.9749769	3.69	38.65	204
34399.9958102	3.69	38.65	204
34400.0166435	3.69	38.65	204
34400.0374769	3.69	38.65	204
34400.0583102	3.69	38.65	204
34400.0791435	3.69	38.65	204
34400.0999769	3.69	38.65	204
34400.1208102	3.69	38.65	204
34400.1416435	3.69	38.65	204
34400.1624769	3.69	38.65	204
34400.1833102	3.69	38.65	204
34400.2041435	3.69	38.65	204
34400.2249769	3.69	38.65	204
34400.2458102	3.69	38.65	204
34400.2666435	3.69	38.65	204
34400.2874769	3.69	38.65	204
34400.3083102	3.69	38.65	204
34400.3291435	3.69	38.65	204
34400.3499769	3.69	38.65	204
34400.3708102	3.69	38.65	204
34400.3916435	3.69	38.65	204
34400.4124769	3.69	38.65	204
34400.4333102	3.69	38.65	204
34400.4541435	3.69	38.65	204
34400.4749769	3.69	38.65	204
34400.4958102	3.69	38.65	204
34400.5166435	3.69	38.65	204
34400.5374769	3.69	38.65	204
34400.5583102	3.69	38.65	204
34400.5791435	3.69	38.65	204
34400.5999769	3.69	38.65	204
34400.6208102	3.69	38.65	204
34400.6416435	3.69	38.65	204
34400.6624769	3.69	38.65	204
34400.6833102	3.84	38.93	203
34400.7041435	3.84	38.93	203
34400.7249769	3.69	38.65	204
34400.7458102	3.69	38.65	204
34400.7666435	3.69	38.65	204
34400.7874769	3.69	38.65	204
34400.8083102	3.69	38.65	204
34400.8291435	3.69	38.65	204
34400.8499769	3.69	38.65	204
34400.8708102	3.69	38.65	204
34400.8916435	3.69	38.65	204
34400.9124769	3.69	38.65	204
34400.9333102	3.69	38.65	204
34400.9541435	3.69	38.65	204
34400.9749769	3.69	38.65	204
34400.9958102	3.69	38.65	204
34401.0166435	3.69	38.65	204
34401.0374769	3.69	38.65	204
34401.0583102	3.69	38.65	204
34401.0791435	3.69	38.65	204
34401.0999769	3.69	38.65	204
34401.1208102	3.69	38.65	204
34401.1416435	3.69	38.65	204
34401.1624769	3.69	38.65	204
34401.1833102	3.69	38.65	204
34401.2041435	3.69	38.65	204
34401.2249769	3.69	38.65	204
34401.2458102	3.69	38.65	204
34401.2666435	3.69	38.65	204
34401.2874769	3.69	38.65	204
34401.3083102	3.69	38.65	204
34401.3291435	3.69	38.65	204
34401.3499769	3.69	38.65	204
34401.3708102	3.69	38.65	204
34401.3916435	3.69	38.65	204
34401.4124769	3.69	38.65	204
34401.4333102	3.69	38.65	204
34401.4541435	3.69	38.65	204
34401.4749769	3.69	38.65	204
34401.4958102	3.69	38.65	204
34401.5166435	3.69	38.65	204
34401.5374769	3.69	38.65	204
34401.5583102	3.69	38.65	204
34401.5791435	3.69	38.65	204
34401.5999769	3.69	38.65	204
34401.6208102	3.69	38.65	204
34401.6416435	3.69	38.65	204
34401.6624769	3.69	38.65	204
34401.6833102	3.69	38.65	204
34401.7041435	3.69	38.65	204
34401.7249769	3.69	38.65	204
34401.7458102	3.69	38.65	204
34401.7666435	3.69	38.65	204
34401.7874769	3.69	38.65	204
34401.8083102	3.84	38.93	203
34401.8291435	3.69	38.65	204
34401.8499769	3.69	38.65	204
34401.8708102	3.69	38.65	204
34401.8916435	3.69	38.65	204
34401.9124769	3.69	38.65	204
34401.9333102	3.69	38.65	204
34401.9541435	3.69	38.65	204
34401.9749769	3.53	38.37	205
34401.9958102	3.53	38.37	205
34402.0166435	3.69	38.65	204
34402.0374769	3.69	38.65	204
34402.0583102	3.69	38.65	204
34402.0791435	3.69	38.65	204
34402.0999769	3.69	38.65	204
34402.1208102	3.69	38.65	204
34402.1416435	3.69	38.65	204
34402.1624769	3.69	38.65	204
34402.1833102	3.69	38.65	204
34402.2041435	3.69	38.65	204
34402.2249769	3.69	38.65	204
34402.2458102	3.69	38.65	204
34402.2666435	3.69	38.65	204
34402.2874769	3.53	38.37	205
34402.3083102	3.53	38.37	205
34402.3291435	3.53	38.37	205
34402.3499769	3.69	38.65	204
34402.3708102	3.53	38.37	205
34402.3916435	3.53	38.37	205
34402.4124769	3.53	38.37	205
34402.4333102	3.53	38.37	205
34402.4541435	3.53	38.37	205
34402.4749769	3.69	38.65	204
34402.4958102	3.53	38.37	205
34402.5166435	3.53	38.37	205
34402.5374769	3.53	38.37	205
34402.5583102	3.53	38.37	205
34402.5791435	3.53	38.37	205
34402.5999769	3.53	38.37	205
34402.6208102	3.53	38.37	205
34402.6416435	3.53	38.37	205
34402.6624769	3.53	38.37	205
34402.6833102	3.53	38.37	205
34402.7041435	3.53	38.37	205
34402.7249769	3.53	38.37	205
34402.7458102	3.53	38.37	205
34402.7666435	3.53	38.37	205
34402.7874769	3.53	38.37	205
34402.8083102	3.53	38.37	205
34402.8291435	3.53	38.37	205
34402.8499769	3.53	38.37	205
34402.8708102	3.53	38.37	205
34402.8916435	3.53	38.37	205
34402.9124769	3.53	38.37	205
34402.9333102	3.53	38.37	205
34402.9541435	3.53	38.37	205
34402.9749769	3.53	38.37	205
34402.9958102	3.53	38.37	205
34403.0166435	3.53	38.37	205
34403.0374769	3.53	38.37	205
34403.0583102	3.53	38.37	205
34403.0791435	3.53	38.37	205
34403.0999769	3.53	38.37	205
34403.1208102	3.53	38.37	205
34403.1416435	3.53	38.37	205
34403.1624769	3.53	38.37	205
34403.1833102	3.53	38.37	205
34403.2041435	3.53	38.37	205
34403.2249769	3.53	38.37	205
34403.2458102	3.53	38.37	205
34403.2666435	3.53	38.37	205
34403.2874769	3.53	38.37	205
34403.3083102	3.53	38.37	205
34403.3291435	3.53	38.37	205
34403.3499769	3.53	38.37	205
34403.3708102	3.69	38.65	204
34403.3916435	3.69	38.65	204
34403.4124769	3.53	38.37	205
34403.4333102	3.53	38.37	205
34403.4541435	3.53	38.37	205
34403.4749769	3.69	38.65	204
34403.4958102	3.69	38.65	204
34403.5166435	3.53	38.37	205
34403.5374769	3.53	38.37	205
34403.5583102	3.53	38.37	205
34403.5791435	3.53	38.37	205
34403.5999769	3.53	38.37	205
34403.6208102	3.53	38.37	205
34403.6416435	3.53	38.37	205
34403.6624769	3.53	38.37	205
34403.6833102	3.53	38.37	205
34403.7041435	3.53	38.37	205
34403.7249769	3.53	38.37	205
34403.7458102	3.53	38.37	205
34403.7666435	3.53	38.37	205
34403.7874769	3.53	38.37	205
34403.8083102	3.53	38.37	205
34403.8291435	3.53	38.37	205
34403.8499769	3.53	38.37	205
34403.8708102	3.53	38.37	205
34403.8916435	3.53	38.37	205
34403.9124769	3.53	38.37	205
34403.9333102	3.53	38.37	205
34403.9541435	3.53	38.37	205
34403.9749769	3.53	38.37	205
34403.9958102	3.53	38.37	205
34404.0166435	3.53	38.37	205
34404.0374769	3.53	38.37	205
34404.0583102	3.53	38.37	205
34404.0791435	3.53	38.37	205
34404.0999769	3.53	38.37	205
34404.1208102	3.53	38.37	205
34404.1416435	3.53	38.37	205
34404.1624769	3.53	38.37	205
34404.1833102	3.53	38.37	205
34404.2041435	3.53	38.37	205
34404.2249769	3.53	38.37	205
34404.2458102	3.53	38.37	205
34404.2666435	3.53	38.37	205
34404.2874769	3.53	38.37	205
34404.3083102	3.53	38.37	205
34404.3291435	3.53	38.37	205
34404.3499769	3.38	38.09	206
34404.3708102	3.38	38.09	206
34404.3916435	3.38	38.09	206
34404.4124769	3.38	38.09	206
34404.4333102	3.38	38.09	206
34404.4541435	3.53	38.37	205
34404.4749769	3.53	38.37	205
34404.4958102	3.53	38.37	205
34404.5166435	3.53	38.37	205
34404.5374769	3.38	38.09	206
34404.5583102	3.38	38.09	206
34404.5791435	3.53	38.37	205
34404.5999769	3.38	38.09	206
34404.6208102	3.38	38.09	206
34404.6416435	3.53	38.37	205
34404.6624769	3.53	38.37	205
34404.6833102	3.53	38.37	205
34404.7041435	3.53	38.37	205
34404.7249769	3.53	38.37	205
34404.7458102	3.53	38.37	205
34404.7666435	3.53	38.37	205
34404.7874769	3.53	38.37	205
34404.8083102	3.53	38.37	205
34404.8291435	3.53	38.37	205
34404.8499769	3.53	38.37	205
34404.8708102	3.53	38.37	205
34404.8916435	3.53	38.37	205
34404.9124769	3.53	38.37	205
34404.9333102	3.53	38.37	205
34404.9541435	3.53	38.37	205
34404.9749769	3.53	38.37	205
34404.9958102	3.53	38.37	205
34405.0166435	3.38	38.09	206
34405.0374769	3.53	38.37	205
34405.0583102	3.38	38.09	206
34405.0791435	3.38	38.09	206
34405.0999769	3.38	38.09	206
34405.1208102	3.38	38.09	206
34405.1416435	3.22	37.81	207
34405.1624769	3.22	37.81	207
34405.1833102	3.22	37.81	207
34405.2041435	3.22	37.81	207
34405.2249769	3.22	37.81	207
34405.2458102	3.22	37.81	207
34405.2666435	3.22	37.81	207
34405.2874769	3.22	37.81	207
34405.3083102	3.06	37.52	208
34405.3291435	3.06	37.52	208
34405.3499769	3.06	37.52	208
34405.3708102	3.22	37.81	207
34405.3916435	3.22	37.81	207
34405.4124769	3.22	37.81	207
34405.4333102	3.38	38.09	206
34405.4541435	3.22	37.81	207
34405.4749769	3.22	37.81	207
34405.4958102	3.06	37.52	208
34405.5166435	3.38	38.09	206
34405.5374769	3.22	37.81	207
34405.5583102	3.22	37.81	207
34405.5791435	3.22	37.81	207
34405.5999769	3.22	37.81	207
34405.6208102	3.22	37.81	207
34405.6416435	3.22	37.81	207
34405.6624769	3.22	37.81	207
34405.6833102	3.38	38.09	206
34405.7041435	3.38	38.09	206
34405.7249769	3.38	38.09	206
34405.7458102	3.22	37.81	207
34405.7666435	3.22	37.81	207
34405.7874769	3.22	37.81	207
34405.8083102	3.22	37.81	207
34405.8291435	3.22	37.81	207
34405.8499769	3.22	37.81	207
34405.8708102	3.22	37.81	207
34405.8916435	3.22	37.81	207
34405.9124769	3.22	37.81	207
34405.9333102	3.22	37.81	207
34405.9541435	3.22	37.81	207
34405.9749769	3.38	38.09	206
34405.9958102	3.38	38.09	206
34406.0166435	3.22	37.81	207
34406.0374769	3.22	37.81	207
34406.0583102	3.06	37.52	208
34406.0791435	3.06	37.52	208
34406.0999769	3.06	37.52	208
34406.1208102	3.06	37.52	208
34406.1416435	3.06	37.52	208
34406.1624769	3.06	37.52	208
34406.1833102	3.06	37.52	208
34406.2041435	3.06	37.52	208
34406.2249769	3.22	37.81	207
34406.2458102	3.06	37.52	208
34406.2666435	3.22	37.81	207
34406.2874769	3.22	37.81	207
34406.3083102	3.22	37.81	207
34406.3291435	3.22	37.81	207
34406.3499769	3.22	37.81	207
34406.3708102	3.22	37.81	207
34406.3916435	3.22	37.81	207
34406.4124769	3.22	37.81	207
34406.4333102	3.22	37.81	207
34406.4541435	3.22	37.81	207
34406.4749769	3.22	37.81	207
34406.4958102	3.22	37.81	207
34406.5166435	3.22	37.81	207
34406.5374769	3.22	37.81	207
34406.5583102	3.22	37.81	207
34406.5791435	3.22	37.81	207
34406.5999769	3.22	37.81	207
34406.6208102	3.22	37.81	207
34406.6416435	3.22	37.81	207
34406.6624769	3.22	37.81	207
34406.6833102	3.22	37.81	207
34406.7041435	3.22	37.81	207
34406.7249769	3.22	37.81	207
34406.7458102	3.22	37.81	207
34406.7666435	3.22	37.81	207
34406.7874769	3.22	37.81	207
34406.8083102	3.22	37.81	207
34406.8291435	3.22	37.81	207
34406.8499769	3.22	37.81	207
34406.8708102	3.22	37.81	207
34406.8916435	3.22	37.81	207
34406.9124769	3.22	37.81	207
34406.9333102	3.22	37.81	207
34406.9541435	3.38	38.09	206
34406.9749769	3.53	38.37	205
34406.9958102	3.53	38.37	205
34407.0166435	3.53	38.37	205
34407.0374769	3.38	38.09	206
34407.0583102	3.38	38.09	206
34407.0791435	3.22	37.81	207
34407.0999769	3.38	38.09	206
34407.1208102	3.38	38.09	206
34407.1416435	3.38	38.09	206
34407.1624769	3.38	38.09	206
34407.1833102	3.38	38.09	206
34407.2041435	3.22	37.81	207
34407.2249769	3.22	37.81	207
34407.2458102	3.22	37.81	207
34407.2666435	3.22	37.81	207
34407.2874769	3.22	37.81	207
34407.3083102	3.22	37.81	207
34407.3291435	3.22	37.81	207
34407.3499769	3.22	37.81	207
