"Time"	"Temperature  (*C)"	"Temperature  (*F)"	"A-D  (1-255)"
34767.5000116	2.53	36.56	212
34767.5208449	2.53	36.56	212
34767.5416782	2.53	36.56	212
34767.5625116	2.53	36.56	212
34767.5833449	2.53	36.56	212
34767.6041782	2.53	36.56	212
34767.6250116	2.53	36.56	212
34767.6458449	2.53	36.56	212
34767.6666782	2.53	36.56	212
34767.6875116	2.53	36.56	212
34767.7083449	2.69	36.85	211
34767.7291782	2.69	36.85	211
34767.7500116	2.69	36.85	211
34767.7708449	2.69	36.85	211
34767.7916782	2.69	36.85	211
34767.8125116	2.69	36.85	211
34767.8333449	2.53	36.56	212
34767.8541782	2.53	36.56	212
34767.8750116	2.53	36.56	212
34767.8958449	2.53	36.56	212
34767.9166782	2.53	36.56	212
34767.9375116	2.53	36.56	212
34767.9583449	2.53	36.56	212
34767.9791782	2.53	36.56	212
34768.0000116	2.53	36.56	212
34768.0208449	2.69	36.85	211
34768.0416782	2.69	36.85	211
34768.0625116	2.69	36.85	211
34768.0833449	2.69	36.85	211
34768.1041782	2.69	36.85	211
34768.1250116	2.53	36.56	212
34768.1458449	2.53	36.56	212
34768.1666782	2.53	36.56	212
34768.1875116	2.53	36.56	212
34768.2083449	2.53	36.56	212
34768.2291782	2.69	36.85	211
34768.2500116	2.69	36.85	211
34768.2708449	2.69	36.85	211
34768.2916782	2.69	36.85	211
34768.3125116	2.53	36.56	212
34768.3333449	2.53	36.56	212
34768.3541782	2.53	36.56	212
34768.3750116	2.53	36.56	212
34768.3958449	2.37	36.28	213
34768.4166782	2.37	36.28	213
34768.4375116	2.37	36.28	213
34768.4583449	2.53	36.56	212
34768.4791782	2.53	36.56	212
34768.5000116	2.37	36.28	213
34768.5208449	2.53	36.56	212
34768.5416782	2.37	36.28	213
34768.5625116	2.53	36.56	212
34768.5833449	2.53	36.56	212
34768.6041782	2.53	36.56	212
34768.6250116	2.53	36.56	212
34768.6458449	2.53	36.56	212
34768.6666782	2.53	36.56	212
34768.6875116	2.69	36.85	211
34768.7083449	2.69	36.85	211
34768.7291782	2.69	36.85	211
34768.7500116	2.69	36.85	211
34768.7708449	2.53	36.56	212
34768.7916782	2.69	36.85	211
34768.8125116	2.69	36.85	211
34768.8333449	2.69	36.85	211
34768.8541782	2.53	36.56	212
34768.8750116	2.53	36.56	212
34768.8958449	2.53	36.56	212
34768.9166782	2.53	36.56	212
34768.9375116	2.53	36.56	212
34768.9583449	2.53	36.56	212
34768.9791782	2.53	36.56	212
34769.0000116	2.53	36.56	212
34769.0208449	2.53	36.56	212
34769.0416782	2.53	36.56	212
34769.0625116	2.53	36.56	212
34769.0833449	2.69	36.85	211
34769.1041782	2.69	36.85	211
34769.1250116	2.69	36.85	211
34769.1458449	2.69	36.85	211
34769.1666782	2.69	36.85	211
34769.1875116	2.69	36.85	211
34769.2083449	2.84	37.13	210
34769.2291782	2.69	36.85	211
34769.2500116	2.69	36.85	211
34769.2708449	2.53	36.56	212
34769.2916782	2.53	36.56	212
34769.3125116	2.69	36.85	211
34769.3333449	2.69	36.85	211
34769.3541782	2.69	36.85	211
34769.3750116	2.53	36.56	212
34769.3958449	2.37	36.28	213
34769.4166782	2.37	36.28	213
34769.4375116	2.37	36.28	213
34769.4583449	2.37	36.28	213
34769.4791782	2.37	36.28	213
34769.5000116	2.37	36.28	213
34769.5208449	2.37	36.28	213
34769.5416782	2.37	36.28	213
34769.5625116	2.37	36.28	213
34769.5833449	2.53	36.56	212
34769.6041782	2.53	36.56	212
34769.6250116	2.53	36.56	212
34769.6458449	2.53	36.56	212
34769.6666782	2.69	36.85	211
34769.6875116	2.69	36.85	211
34769.7083449	2.69	36.85	211
34769.7291782	2.69	36.85	211
34769.7500116	2.69	36.85	211
34769.7708449	2.69	36.85	211
34769.7916782	2.69	36.85	211
34769.8125116	2.69	36.85	211
34769.8333449	2.69	36.85	211
34769.8541782	2.53	36.56	212
34769.8750116	2.37	36.28	213
34769.8958449	2.69	36.85	211
34769.9166782	2.69	36.85	211
34769.9375116	2.69	36.85	211
34769.9583449	2.69	36.85	211
34769.9791782	2.69	36.85	211
34770.0000116	2.53	36.56	212
34770.0208449	2.53	36.56	212
34770.0416782	2.53	36.56	212
34770.0625116	2.53	36.56	212
34770.0833449	2.53	36.56	212
34770.1041782	2.53	36.56	212
34770.1250116	2.69	36.85	211
34770.1458449	2.69	36.85	211
34770.1666782	2.69	36.85	211
34770.1875116	2.69	36.85	211
34770.2083449	2.84	37.13	210
34770.2291782	2.69	36.85	211
34770.2500116	2.69	36.85	211
34770.2708449	2.53	36.56	212
34770.2916782	2.53	36.56	212
34770.3125116	2.69	36.85	211
34770.3333449	2.53	36.56	212
34770.3541782	2.69	36.85	211
34770.3750116	2.69	36.85	211
34770.3958449	2.69	36.85	211
34770.4166782	2.53	36.56	212
34770.4375116	2.37	36.28	213
34770.4583449	2.37	36.28	213
34770.4791782	2.69	36.85	211
34770.5000116	2.69	36.85	211
34770.5208449	2.69	36.85	211
34770.5416782	2.37	36.28	213
34770.5625116	2.37	36.28	213
34770.5833449	2.37	36.28	213
34770.6041782	2.37	36.28	213
34770.6250116	2.37	36.28	213
34770.6458449	2.53	36.56	212
34770.6666782	2.69	36.85	211
34770.6875116	2.37	36.28	213
34770.7083449	2.53	36.56	212
34770.7291782	2.37	36.28	213
34770.7500116	2.53	36.56	212
34770.7708449	2.69	36.85	211
34770.7916782	2.37	36.28	213
34770.8125116	2.53	36.56	212
34770.8333449	2.37	36.28	213
34770.8541782	2.53	36.56	212
34770.8750116	2.37	36.28	213
34770.8958449	2.37	36.28	213
34770.9166782	2.37	36.28	213
34770.9375116	2.37	36.28	213
34770.9583449	2.37	36.28	213
34770.9791782	2.37	36.28	213
34771.0000116	2.37	36.28	213
34771.0208449	2.37	36.28	213
34771.0416782	2.37	36.28	213
34771.0625116	2.37	36.28	213
34771.0833449	2.37	36.28	213
34771.1041782	2.37	36.28	213
34771.1250116	2.37	36.28	213
34771.1458449	2.37	36.28	213
34771.1666782	2.53	36.56	212
34771.1875116	2.53	36.56	212
34771.2083449	2.69	36.85	211
34771.2291782	2.69	36.85	211
34771.2500116	2.69	36.85	211
34771.2708449	2.69	36.85	211
34771.2916782	2.84	37.13	210
34771.3125116	2.84	37.13	210
34771.3333449	2.84	37.13	210
34771.3541782	2.69	36.85	211
34771.3750116	2.69	36.85	211
34771.3958449	2.53	36.56	212
34771.4166782	2.37	36.28	213
34771.4375116	2.37	36.28	213
34771.4583449	2.37	36.28	213
34771.4791782	2.37	36.28	213
34771.5000116	2.21	35.99	214
34771.5208449	2.37	36.28	213
34771.5416782	2.37	36.28	213
34771.5625116	2.21	35.99	214
34771.5833449	2.21	35.99	214
34771.6041782	2.21	35.99	214
34771.6250116	2.37	36.28	213
34771.6458449	2.37	36.28	213
34771.6666782	2.37	36.28	213
34771.6875116	2.37	36.28	213
34771.7083449	2.53	36.56	212
