"Time"	"Temperature   (*C)"	"Temperature   (*F)"
5/23/00 2:00:00.0 PM	15.69	60.26
5/23/00 2:30:00.0 PM	14.90	58.83
5/23/00 3:00:00.0 PM	14.43	57.98
5/23/00 3:30:00.0 PM	6.53	43.76
5/23/00 4:00:00.0 PM	6.37	43.48
5/23/00 4:30:00.0 PM	6.37	43.48
5/23/00 5:00:00.0 PM	6.22	43.20
5/23/00 5:30:00.0 PM	6.53	43.76
5/23/00 6:00:00.0 PM	6.84	44.32
5/23/00 6:30:00.0 PM	6.84	44.32
5/23/00 7:00:00.0 PM	6.99	44.60
5/23/00 7:30:00.0 PM	7.15	44.88
5/23/00 8:00:00.0 PM	7.31	45.16
5/23/00 8:30:00.0 PM	7.77	45.99
5/23/00 9:00:00.0 PM	7.92	46.27
5/23/00 9:30:00.0 PM	8.08	46.55
5/23/00 10:00:00.0 PM	7.92	46.27
5/23/00 10:30:00.0 PM	7.46	45.44
5/23/00 11:00:00.0 PM	7.31	45.16
5/23/00 11:30:00.0 PM	7.15	44.88
5/24/00 12:00:00.0 AM	6.99	44.60
5/24/00 12:30:00.0 AM	6.68	44.04
5/24/00 1:00:00.0 AM	6.68	44.04
5/24/00 1:30:00.0 AM	6.99	44.60
5/24/00 2:00:00.0 AM	6.99	44.60
5/24/00 2:30:00.0 AM	6.99	44.60
5/24/00 3:00:00.0 AM	6.84	44.32
5/24/00 3:30:00.0 AM	6.99	44.60
5/24/00 4:00:00.0 AM	7.15	44.88
5/24/00 4:30:00.0 AM	7.31	45.16
5/24/00 5:00:00.0 AM	7.15	44.88
5/24/00 5:30:00.0 AM	7.15	44.88
5/24/00 6:00:00.0 AM	7.15	44.88
5/24/00 6:30:00.0 AM	7.31	45.16
5/24/00 7:00:00.0 AM	7.46	45.44
5/24/00 7:30:00.0 AM	7.92	46.27
5/24/00 8:00:00.0 AM	8.38	47.10
5/24/00 8:30:00.0 AM	8.54	47.38
5/24/00 9:00:00.0 AM	8.69	47.66
5/24/00 9:30:00.0 AM	8.69	47.66
5/24/00 10:00:00.0 AM	8.84	47.93
5/24/00 10:30:00.0 AM	8.84	47.93
5/24/00 11:00:00.0 AM	8.54	47.38
5/24/00 11:30:00.0 AM	7.77	45.99
5/24/00 12:00:00.0 PM	7.31	45.16
5/24/00 12:30:00.0 PM	7.61	45.71
5/24/00 1:00:00.0 PM	7.15	44.88
5/24/00 1:30:00.0 PM	7.15	44.88
5/24/00 2:00:00.0 PM	6.84	44.32
5/24/00 2:30:00.0 PM	6.53	43.76
5/24/00 3:00:00.0 PM	6.22	43.20
5/24/00 3:30:00.0 PM	6.53	43.76
5/24/00 4:00:00.0 PM	6.37	43.48
5/24/00 4:30:00.0 PM	6.37	43.48
5/24/00 5:00:00.0 PM	6.37	43.48
5/24/00 5:30:00.0 PM	6.37	43.48
5/24/00 6:00:00.0 PM	6.53	43.76
5/24/00 6:30:00.0 PM	6.99	44.60
