"Time"	"Temperature   (*C)"	"Temperature   (*F)"
9/9/00 8:00:00.0 AM	10.55	51.00
9/9/00 8:30:00.0 AM	10.71	51.28
9/9/00 9:00:00.0 AM	10.55	51.00
9/9/00 9:30:00.0 AM	10.71	51.28
9/9/00 10:00:00.0 AM	10.71	51.28
9/9/00 10:30:00.0 AM	10.71	51.28
9/9/00 11:00:00.0 AM	11.02	51.84
9/9/00 11:30:00.0 AM	11.33	52.40
9/9/00 12:00:00.0 PM	11.33	52.40
9/9/00 12:30:00.0 PM	11.33	52.40
9/9/00 1:00:00.0 PM	11.17	52.12
9/9/00 1:30:00.0 PM	11.02	51.84
9/9/00 2:00:00.0 PM	10.86	51.56
9/9/00 2:30:00.0 PM	11.79	53.24
9/9/00 3:00:00.0 PM	11.79	53.24
9/9/00 3:30:00.0 PM	11.64	52.96
9/9/00 4:00:00.0 PM	11.48	52.68
9/9/00 4:30:00.0 PM	11.17	52.12
9/9/00 5:00:00.0 PM	11.33	52.40
9/9/00 5:30:00.0 PM	11.48	52.68
9/9/00 6:00:00.0 PM	11.17	52.12
9/9/00 6:30:00.0 PM	11.17	52.12
9/9/00 7:00:00.0 PM	11.02	51.84
9/9/00 7:30:00.0 PM	10.86	51.56
9/9/00 8:00:00.0 PM	10.86	51.56
9/9/00 8:30:00.0 PM	11.02	51.84
9/9/00 9:00:00.0 PM	11.02	51.84
9/9/00 9:30:00.0 PM	10.86	51.56
9/9/00 10:00:00.0 PM	11.17	52.12
9/9/00 10:30:00.0 PM	11.33	52.40
9/9/00 11:00:00.0 PM	11.33	52.40
9/9/00 11:30:00.0 PM	11.02	51.84
9/10/00 12:00:00.0 AM	11.33	52.40
9/10/00 12:30:00.0 AM	11.48	52.68
9/10/00 1:00:00.0 AM	11.48	52.68
9/10/00 1:30:00.0 AM	12.11	53.80
9/10/00 2:00:00.0 AM	11.95	53.52
9/10/00 2:30:00.0 AM	12.11	53.80
9/10/00 3:00:00.0 AM	12.73	54.93
9/10/00 3:30:00.0 AM	12.42	54.37
9/10/00 4:00:00.0 AM	12.42	54.37
9/10/00 4:30:00.0 AM	12.26	54.08
9/10/00 5:00:00.0 AM	12.42	54.37
9/10/00 5:30:00.0 AM	12.26	54.08
9/10/00 6:00:00.0 AM	11.95	53.52
9/10/00 6:30:00.0 AM	12.26	54.08
9/10/00 7:00:00.0 AM	11.79	53.24
9/10/00 7:30:00.0 AM	11.17	52.12
9/10/00 8:00:00.0 AM	11.48	52.68
9/10/00 8:30:00.0 AM	11.64	52.96
9/10/00 9:00:00.0 AM	11.64	52.96
9/10/00 9:30:00.0 AM	11.64	52.96
9/10/00 10:00:00.0 AM	11.64	52.96
9/10/00 10:30:00.0 AM	11.79	53.24
9/10/00 11:00:00.0 AM	11.64	52.96
9/10/00 11:30:00.0 AM	11.64	52.96
9/10/00 12:00:00.0 PM	11.95	53.52
9/10/00 12:30:00.0 PM	11.95	53.52
9/10/00 1:00:00.0 PM	11.95	53.52
9/10/00 1:30:00.0 PM	12.11	53.80
9/10/00 2:00:00.0 PM	13.82	56.88
9/10/00 2:30:00.0 PM	13.82	56.88
9/10/00 3:00:00.0 PM	13.04	55.49
9/10/00 3:30:00.0 PM	13.51	56.33
9/10/00 4:00:00.0 PM	13.04	55.49
9/10/00 4:30:00.0 PM	12.89	55.21
9/10/00 5:00:00.0 PM	12.58	54.65
9/10/00 5:30:00.0 PM	12.26	54.08
9/10/00 6:00:00.0 PM	11.79	53.24
9/10/00 6:30:00.0 PM	11.64	52.96
9/10/00 7:00:00.0 PM	11.48	52.68
9/10/00 7:30:00.0 PM	11.64	52.96
9/10/00 8:00:00.0 PM	11.17	52.12
9/10/00 8:30:00.0 PM	11.02	51.84
9/10/00 9:00:00.0 PM	11.48	52.68
9/10/00 9:30:00.0 PM	11.64	52.96
9/10/00 10:00:00.0 PM	12.11	53.80
9/10/00 10:30:00.0 PM	12.58	54.65
9/10/00 11:00:00.0 PM	12.58	54.65
9/10/00 11:30:00.0 PM	12.42	54.37
9/11/00 12:00:00.0 AM	12.11	53.80
9/11/00 12:30:00.0 AM	12.26	54.08
9/11/00 1:00:00.0 AM	12.58	54.65
9/11/00 1:30:00.0 AM	12.73	54.93
9/11/00 2:00:00.0 AM	12.73	54.93
9/11/00 2:30:00.0 AM	12.73	54.93
9/11/00 3:00:00.0 AM	12.73	54.93
9/11/00 3:30:00.0 AM	12.42	54.37
9/11/00 4:00:00.0 AM	12.89	55.21
9/11/00 4:30:00.0 AM	12.89	55.21
9/11/00 5:00:00.0 AM	13.51	56.33
9/11/00 5:30:00.0 AM	13.51	56.33
9/11/00 6:00:00.0 AM	12.58	54.65
9/11/00 6:30:00.0 AM	12.26	54.08
9/11/00 7:00:00.0 AM	11.48	52.68
9/11/00 7:30:00.0 AM	11.48	52.68
