"Time"	"Temperature   (*C)"	"Temperature   (*F)"
9/11/00 8:00:00.0 AM	11.64	52.96
9/11/00 8:30:00.0 AM	11.79	53.24
9/11/00 9:00:00.0 AM	11.64	52.96
9/11/00 9:30:00.0 AM	11.48	52.68
9/11/00 10:00:00.0 AM	11.33	52.40
9/11/00 10:30:00.0 AM	11.33	52.40
9/11/00 11:00:00.0 AM	11.33	52.40
9/11/00 11:30:00.0 AM	11.48	52.68
9/11/00 12:00:00.0 PM	11.64	52.96
9/11/00 12:30:00.0 PM	11.48	52.68
9/11/00 1:00:00.0 PM	11.48	52.68
9/11/00 1:30:00.0 PM	11.64	52.96
9/11/00 2:00:00.0 PM	11.95	53.52
9/11/00 2:30:00.0 PM	12.11	53.80
9/11/00 3:00:00.0 PM	12.42	54.37
9/11/00 3:30:00.0 PM	12.58	54.65
9/11/00 4:00:00.0 PM	12.58	54.65
9/11/00 4:30:00.0 PM	11.64	52.96
9/11/00 5:00:00.0 PM	11.79	53.24
9/11/00 5:30:00.0 PM	12.11	53.80
9/11/00 6:00:00.0 PM	12.58	54.65
9/11/00 6:30:00.0 PM	12.11	53.80
9/11/00 7:00:00.0 PM	12.26	54.08
9/11/00 7:30:00.0 PM	11.33	52.40
9/11/00 8:00:00.0 PM	11.33	52.40
9/11/00 8:30:00.0 PM	11.02	51.84
9/11/00 9:00:00.0 PM	11.02	51.84
9/11/00 9:30:00.0 PM	10.71	51.28
9/11/00 10:00:00.0 PM	10.71	51.28
9/11/00 10:30:00.0 PM	10.71	51.28
9/11/00 11:00:00.0 PM	10.86	51.56
9/11/00 11:30:00.0 PM	11.17	52.12
9/12/00 12:00:00.0 AM	11.33	52.40
9/12/00 12:30:00.0 AM	11.17	52.12
9/12/00 1:00:00.0 AM	11.33	52.40
9/12/00 1:30:00.0 AM	11.17	52.12
9/12/00 2:00:00.0 AM	11.33	52.40
9/12/00 2:30:00.0 AM	11.48	52.68
9/12/00 3:00:00.0 AM	11.48	52.68
9/12/00 3:30:00.0 AM	12.42	54.37
9/12/00 4:00:00.0 AM	12.26	54.08
9/12/00 4:30:00.0 AM	11.48	52.68
9/12/00 5:00:00.0 AM	11.79	53.24
9/12/00 5:30:00.0 AM	11.48	52.68
9/12/00 6:00:00.0 AM	11.64	52.96
9/12/00 6:30:00.0 AM	11.48	52.68
9/12/00 7:00:00.0 AM	11.48	52.68
9/12/00 7:30:00.0 AM	11.33	52.40
9/12/00 8:00:00.0 AM	10.86	51.56
9/12/00 8:30:00.0 AM	11.02	51.84
9/12/00 9:00:00.0 AM	10.39	50.72
9/12/00 9:30:00.0 AM	10.39	50.72
9/12/00 10:00:00.0 AM	10.71	51.28
9/12/00 10:30:00.0 AM	10.71	51.28
9/12/00 11:00:00.0 AM	10.86	51.56
9/12/00 11:30:00.0 AM	10.71	51.28
9/12/00 12:00:00.0 PM	10.71	51.28
9/12/00 12:30:00.0 PM	10.71	51.28
9/12/00 1:00:00.0 PM	10.86	51.56
9/12/00 1:30:00.0 PM	10.86	51.56
9/12/00 2:00:00.0 PM	11.17	52.12
9/12/00 2:30:00.0 PM	11.48	52.68
9/12/00 3:00:00.0 PM	11.64	52.96
9/12/00 3:30:00.0 PM	11.64	52.96
9/12/00 4:00:00.0 PM	11.64	52.96
9/12/00 4:30:00.0 PM	11.48	52.68
9/12/00 5:00:00.0 PM	11.33	52.40
9/12/00 5:30:00.0 PM	11.48	52.68
9/12/00 6:00:00.0 PM	11.33	52.40
9/12/00 6:30:00.0 PM	11.17	52.12
9/12/00 7:00:00.0 PM	11.17	52.12
9/12/00 7:30:00.0 PM	11.17	52.12
9/12/00 8:00:00.0 PM	10.71	51.28
9/12/00 8:30:00.0 PM	10.55	51.00
9/12/00 9:00:00.0 PM	10.24	50.44
9/12/00 9:30:00.0 PM	10.24	50.44
9/12/00 10:00:00.0 PM	9.92	49.87
9/12/00 10:30:00.0 PM	9.92	49.87
9/12/00 11:00:00.0 PM	9.92	49.87
9/12/00 11:30:00.0 PM	9.92	49.87
9/13/00 12:00:00.0 AM	9.92	49.87
9/13/00 12:30:00.0 AM	10.08	50.16
9/13/00 1:00:00.0 AM	9.92	49.87
9/13/00 1:30:00.0 AM	10.24	50.44
9/13/00 2:00:00.0 AM	10.39	50.72
9/13/00 2:30:00.0 AM	10.55	51.00
9/13/00 3:00:00.0 AM	10.86	51.56
