"Time"	"Temperature  (*C)"	"Temperature  (*F)"	"A-D  (1-255)"
34102.4583449	7.26	45.08	181
34102.4791782	4.62	40.33	198
34102.5000116	4.78	40.61	197
34102.5208449	4.62	40.33	198
34102.5416782	4.62	40.33	198
34102.5625116	4.78	40.61	197
34102.5833449	4.62	40.33	198
34102.6041782	4.62	40.33	198
34102.6250116	4.62	40.33	198
34102.6458449	4.62	40.33	198
34102.6666782	4.62	40.33	198
34102.6875116	4.62	40.33	198
34102.7083449	4.78	40.61	197
34102.7291782	4.62	40.33	198
34102.7500116	4.62	40.33	198
34102.7708449	4.62	40.33	198
34102.7916782	4.78	40.61	197
34102.8125116	4.78	40.61	197
34102.8333449	4.93	40.89	196
34102.8541782	4.78	40.61	197
34102.8750116	4.78	40.61	197
34102.8958449	4.78	40.61	197
34102.9166782	4.78	40.61	197
34102.9375116	4.93	40.89	196
34102.9583449	4.93	40.89	196
34102.9791782	4.78	40.61	197
34103.0000116	4.78	40.61	197
34103.0208449	4.78	40.61	197
34103.0416782	4.78	40.61	197
34103.0625116	4.62	40.33	198
34103.0833449	4.62	40.33	198
34103.1041782	4.62	40.33	198
34103.1250116	4.62	40.33	198
34103.1458449	4.62	40.33	198
34103.1666782	4.62	40.33	198
34103.1875116	4.62	40.33	198
34103.2083449	4.47	40.05	199
34103.2291782	4.62	40.33	198
34103.2500116	4.62	40.33	198
34103.2708449	4.47	40.05	199
34103.2916782	4.62	40.33	198
34103.3125116	4.62	40.33	198
34103.3333449	4.62	40.33	198
34103.3541782	4.62	40.33	198
34103.3750116	4.78	40.61	197
34103.3958449	4.62	40.33	198
34103.4166782	4.62	40.33	198
34103.4375116	4.78	40.61	197
34103.4583449	4.78	40.61	197
34103.4791782	4.78	40.61	197
34103.5000116	4.78	40.61	197
34103.5208449	4.78	40.61	197
34103.5416782	4.78	40.61	197
34103.5625116	4.78	40.61	197
34103.5833449	4.62	40.33	198
34103.6041782	4.62	40.33	198
34103.6250116	4.62	40.33	198
34103.6458449	4.78	40.61	197
34103.6666782	4.62	40.33	198
34103.6875116	4.62	40.33	198
34103.7083449	4.62	40.33	198
34103.7291782	4.62	40.33	198
34103.7500116	4.62	40.33	198
34103.7708449	4.62	40.33	198
34103.7916782	4.62	40.33	198
34103.8125116	4.62	40.33	198
34103.8333449	4.62	40.33	198
34103.8541782	4.62	40.33	198
34103.8750116	4.62	40.33	198
34103.8958449	4.62	40.33	198
34103.9166782	4.62	40.33	198
34103.9375116	4.78	40.61	197
34103.9583449	4.78	40.61	197
34103.9791782	4.62	40.33	198
34104.0000116	4.62	40.33	198
34104.0208449	4.62	40.33	198
34104.0416782	4.62	40.33	198
34104.0625116	4.62	40.33	198
34104.0833449	4.62	40.33	198
34104.1041782	4.62	40.33	198
34104.1250116	4.62	40.33	198
34104.1458449	4.62	40.33	198
34104.1666782	4.62	40.33	198
34104.1875116	4.62	40.33	198
34104.2083449	4.62	40.33	198
34104.2291782	4.62	40.33	198
34104.2500116	4.62	40.33	198
34104.2708449	4.62	40.33	198
34104.2916782	4.62	40.33	198
34104.3125116	4.62	40.33	198
34104.3333449	4.62	40.33	198
34104.3541782	4.78	40.61	197
34104.3750116	4.78	40.61	197
34104.3958449	5.09	41.17	195
34104.4166782	4.93	40.89	196
34104.4375116	4.78	40.61	197
34104.4583449	4.78	40.61	197
34104.4791782	4.62	40.33	198
34104.5000116	4.62	40.33	198
34104.5208449	4.62	40.33	198
34104.5416782	4.62	40.33	198
34104.5625116	4.62	40.33	198
34104.5833449	4.62	40.33	198
34104.6041782	4.62	40.33	198
34104.6250116	4.62	40.33	198
34104.6458449	4.62	40.33	198
34104.6666782	4.62	40.33	198
34104.6875116	4.62	40.33	198
34104.7083449	4.62	40.33	198
34104.7291782	4.62	40.33	198
34104.7500116	4.47	40.05	199
34104.7708449	4.47	40.05	199
34104.7916782	4.47	40.05	199
34104.8125116	4.47	40.05	199
34104.8333449	4.47	40.05	199
34104.8541782	4.47	40.05	199
34104.8750116	4.47	40.05	199
34104.8958449	4.47	40.05	199
34104.9166782	4.47	40.05	199
34104.9375116	4.47	40.05	199
34104.9583449	4.47	40.05	199
34104.9791782	4.47	40.05	199
34105.0000116	4.47	40.05	199
34105.0208449	4.47	40.05	199
34105.0416782	4.47	40.05	199
34105.0625116	4.47	40.05	199
34105.0833449	4.47	40.05	199
34105.1041782	4.62	40.33	198
34105.1250116	4.62	40.33	198
34105.1458449	4.62	40.33	198
34105.1666782	4.62	40.33	198
34105.1875116	4.62	40.33	198
34105.2083449	4.62	40.33	198
34105.2291782	4.62	40.33	198
34105.2500116	4.62	40.33	198
34105.2708449	4.62	40.33	198
34105.2916782	4.62	40.33	198
34105.3125116	4.62	40.33	198
34105.3333449	4.62	40.33	198
34105.3541782	4.62	40.33	198
34105.3750116	4.62	40.33	198
34105.3958449	4.62	40.33	198
34105.4166782	4.62	40.33	198
34105.4375116	4.62	40.33	198
34105.4583449	4.62	40.33	198
34105.4791782	4.62	40.33	198
34105.5000116	4.62	40.33	198
34105.5208449	4.47	40.05	199
34105.5416782	4.62	40.33	198
34105.5625116	4.78	40.61	197
34105.5833449	4.78	40.61	197
34105.6041782	4.62	40.33	198
34105.6250116	4.78	40.61	197
34105.6458449	4.78	40.61	197
34105.6666782	4.78	40.61	197
34105.6875116	4.78	40.61	197
34105.7083449	4.78	40.61	197
34105.7291782	4.62	40.33	198
34105.7500116	4.62	40.33	198
34105.7708449	4.62	40.33	198
34105.7916782	4.62	40.33	198
34105.8125116	4.62	40.33	198
34105.8333449	4.62	40.33	198
34105.8541782	4.78	40.61	197
34105.8750116	4.62	40.33	198
34105.8958449	4.78	40.61	197
34105.9166782	4.78	40.61	197
34105.9375116	4.78	40.61	197
34105.9583449	4.78	40.61	197
34105.9791782	4.62	40.33	198
34106.0000116	4.78	40.61	197
34106.0208449	4.62	40.33	198
34106.0416782	4.78	40.61	197
34106.0625116	4.78	40.61	197
34106.0833449	4.78	40.61	197
34106.1041782	4.62	40.33	198
34106.1250116	4.62	40.33	198
34106.1458449	4.62	40.33	198
34106.1666782	4.62	40.33	198
34106.1875116	4.62	40.33	198
34106.2083449	4.62	40.33	198
34106.2291782	4.78	40.61	197
34106.2500116	4.62	40.33	198
34106.2708449	4.62	40.33	198
34106.2916782	4.62	40.33	198
34106.3125116	4.62	40.33	198
34106.3333449	4.62	40.33	198
34106.3541782	4.62	40.33	198
34106.3750116	4.62	40.33	198
34106.3958449	4.62	40.33	198
34106.4166782	4.62	40.33	198
34106.4375116	4.62	40.33	198
34106.4583449	4.62	40.33	198
34106.4791782	4.78	40.61	197
34106.5000116	4.62	40.33	198
34106.5208449	4.78	40.61	197
34106.5416782	4.78	40.61	197
34106.5625116	4.78	40.61	197
34106.5833449	4.78	40.61	197
34106.6041782	4.78	40.61	197
34106.6250116	4.78	40.61	197
34106.6458449	4.78	40.61	197
34106.6666782	4.78	40.61	197
34106.6875116	4.78	40.61	197
34106.7083449	4.62	40.33	198
34106.7291782	4.62	40.33	198
34106.7500116	4.62	40.33	198
34106.7708449	4.62	40.33	198
34106.7916782	4.62	40.33	198
34106.8125116	4.62	40.33	198
34106.8333449	4.62	40.33	198
34106.8541782	4.62	40.33	198
34106.8750116	4.62	40.33	198
34106.8958449	4.62	40.33	198
34106.9166782	4.62	40.33	198
34106.9375116	4.78	40.61	197
34106.9583449	4.62	40.33	198
34106.9791782	4.78	40.61	197
34107.0000116	4.78	40.61	197
34107.0208449	4.78	40.61	197
34107.0416782	4.78	40.61	197
34107.0625116	4.78	40.61	197
34107.0833449	4.78	40.61	197
34107.1041782	4.78	40.61	197
34107.1250116	4.78	40.61	197
34107.1458449	4.78	40.61	197
34107.1666782	4.78	40.61	197
34107.1875116	4.93	40.89	196
34107.2083449	4.93	40.89	196
34107.2291782	4.78	40.61	197
34107.2500116	4.78	40.61	197
34107.2708449	4.78	40.61	197
