Date,YY,MM,godas_5,godas_15,godas_25
1989-11-01,1989,11,10.791009521484398,10.780328369140648,10.763543701171898
1989-12-01,1989,12,6.573358154296898,6.574884033203148,6.579461669921898
1990-01-01,1990,1,4.441644287109398,4.440118408203148,4.444696044921898
1990-02-01,1990,2,3.6924072265625223,3.6924072265625223,3.7000366210937727
1990-03-01,1990,3,3.5520263671875227,3.5413452148437727,3.5352416992187727
1990-04-01,1990,4,4.754449462890648,4.551507568359398,4.461480712890648
1990-05-01,1990,5,7.688806152343773,7.342431640625023,5.779870605468773
1990-06-01,1990,6,11.576867675781273,9.741174316406273,6.497064208984398
1990-07-01,1990,7,16.107324218750023,12.554986572265648,6.681695556640648
1990-08-01,1990,8,19.763452148437523,16.690240478515648,11.038201904296898
1990-09-01,1990,9,17.350946044921898,17.233453369140648,15.440515136718773
1990-10-01,1990,10,14.259423828125025,14.268579101562525,14.286889648437525
1990-11-01,1990,11,10.676568603515648,10.685723876953148,10.699456787109398
1990-12-01,1990,12,8.331231689453148,8.334283447265648,8.334283447265648
1991-01-01,1991,1,6.303277587890648,6.306329345703148,6.315484619140648
1991-02-01,1991,2,4.626275634765648,4.623223876953148,4.626275634765648
1991-03-01,1991,3,4.049462890625023,4.040307617187523,4.038781738281273
1991-04-01,1991,4,4.754449462890648,4.533197021484398,4.383660888671898
1991-05-01,1991,5,7.871911621093773,6.431451416015648,4.212731933593773
1991-06-01,1991,6,12.986810302734398,9.669458007812525,3.6252685546875223
1991-07-01,1991,7,16.671929931640648,10.517877197265648,4.321099853515648
1991-08-01,1991,8,17.094598388671898,8.891229248046898,3.6954589843750223
1991-09-01,1991,9,14.590570068359398,12.730462646484398,6.156762695312523
1991-10-01,1991,10,12.533624267578148,12.428338623046898,8.398370361328148
1991-11-01,1991,11,9.269647216796898,9.233026123046898,9.158258056640648
1991-12-01,1991,12,6.963983154296898,6.948724365234398,6.930413818359398
1992-01-01,1992,1,5.018426513671898,5.000115966796898,4.974176025390648
