YY,MM,Buoy44029_2m,Buoy44029_20m,Buoy44005,Buoy44013,Buoy44098,OISST,HRI_Tidbit,HRO_Tidbit,DB_Tidbit,SHI_Tidbit,SHO_Tidbit,godas_5,godas_15,godas_25
1979,1,NA,NA,6.55909881816129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,10,NA,NA,12.957857470322582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,11,NA,NA,10.558728018433333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,12,NA,NA,8.515532977935484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,2,NA,NA,4.866772975214285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,3,NA,NA,3.949059139354839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,4,NA,NA,5.1697023728666665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,5,NA,NA,8.965799926612902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,6,NA,NA,13.569130556071428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,7,NA,NA,18.16944249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,8,NA,NA,18.91606471419355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,9,NA,NA,15.944454864999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,1,NA,NA,7.349801305709677,NA,NA,NA,NA,NA,NA,NA,NA,6.033166503906273,6.034692382812523,6.039270019531273
1980,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.603814697265648,12.374932861328148,11.862207031250025
1980,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.707604980468773,9.721337890625025,9.732019042968773
1980,12,NA,NA,7.2088550966666665,NA,NA,NA,NA,NA,NA,NA,NA,7.568261718750023,7.565209960937523,7.571313476562523
1980,2,NA,NA,5.450077615034483,NA,NA,NA,NA,NA,NA,NA,NA,4.060144042968773,4.054040527343773,4.060144042968773
1980,3,NA,NA,5.077881068258065,NA,NA,NA,NA,NA,NA,NA,NA,2.9996276855468977,2.9981018066406477,2.9981018066406477
1980,4,NA,NA,6.3339444408,NA,NA,NA,NA,NA,NA,NA,NA,3.9762207031250223,3.9350219726562727,3.9243408203125223
1980,5,NA,NA,8.715029775535715,NA,NA,NA,NA,NA,NA,NA,NA,7.023492431640648,6.625238037109398,5.990441894531273
1980,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.426324462890648,9.367333984375025,7.140985107421898
1980,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.947625732421898,12.002587890625025,8.032128906250023
1980,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.195825195312523,13.311822509765648,9.788476562500025
1980,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.365197753906273,16.058496093750023,12.109399414062525
1981,1,NA,NA,5.073348759333333,NA,NA,NA,NA,NA,NA,NA,NA,5.256463623046898,5.254937744140648,5.254937744140648
1981,10,NA,NA,12.435704027096774,NA,NA,11.981935439571258,NA,NA,NA,NA,NA,10.810845947265648,10.760491943359398,10.673516845703148
1981,11,NA,NA,10.025694459233334,NA,NA,9.75566676457723,NA,NA,NA,NA,NA,8.511285400390648,8.517388916015648,8.521966552734398
1981,12,NA,NA,7.915658642580645,NA,NA,7.774838785971364,NA,NA,NA,NA,NA,5.836328125000023,5.839379882812523,5.845483398437523
1981,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4772583007812727,3.4772583007812727,3.4772583007812727
1981,3,NA,NA,4.869841397615384,NA,NA,NA,NA,NA,NA,NA,NA,2.9660583496093977,2.9660583496093977,2.9630065917968977
1981,4,NA,NA,5.424642071166667,NA,NA,NA,NA,NA,NA,NA,NA,4.098291015625023,4.086083984375023,4.072351074218773
1981,5,NA,NA,8.112167946774193,NA,NA,NA,NA,NA,NA,NA,NA,6.793084716796898,6.631341552734398,6.431451416015648
1981,6,NA,NA,12.677697052,NA,NA,NA,NA,NA,NA,NA,NA,12.117028808593773,10.919183349609398,8.140466308593773
1981,7,NA,NA,16.988002567096775,NA,NA,NA,NA,NA,NA,NA,NA,15.640405273437525,14.219750976562525,9.919702148437525
1981,8,NA,NA,18.521180504166665,NA,NA,NA,NA,NA,NA,NA,NA,17.589013671875023,15.399316406250025,11.343377685546898
1981,9,NA,NA,17.017502768,NA,NA,15.443666553497314,NA,NA,NA,NA,NA,16.204980468750023,15.785363769531273,12.164331054687525
1982,1,NA,NA,6.126471073354839,NA,NA,5.790967756702054,NA,NA,NA,NA,NA,4.031152343750023,4.025048828125023,4.020471191406273
1982,10,NA,NA,11.52611604125,NA,NA,13.11161281216529,NA,NA,NA,NA,NA,10.310327148437525,9.437524414062525,6.684747314453148
1982,11,NA,NA,10.437638829599999,NA,NA,10.880333391825358,NA,NA,NA,NA,NA,8.055017089843773,7.696435546875023,6.968560791015648
1982,12,NA,NA,8.403781019935483,NA,NA,8.616129090709071,NA,NA,NA,NA,NA,6.922784423828148,6.909051513671898,6.843438720703148
1982,2,NA,NA,4.8203475075,NA,NA,5.131071371691568,NA,NA,NA,NA,NA,2.5235534667968977,2.5266052246093977,2.5220275878906477
1982,3,NA,NA,4.052325861225807,NA,NA,4.147096764656805,NA,NA,NA,NA,NA,2.3190856933593977,2.3312927246093977,2.3572326660156477
