long,lat,id,pottmp_c,year,month,depth_m
-70.5,42.49915873575553,pottmp_level=5_1,5.807336425781273,1985,1,5
-70.5,42.49915873575553,pottmp_level=5_2,4.174584960937523,1985,2,5
-70.5,42.49915873575553,pottmp_level=5_3,3.7854858398437727,1985,3,5
-70.5,42.49915873575553,pottmp_level=5_4,4.391290283203148,1985,4,5
-70.5,42.49915873575553,pottmp_level=5_5,6.977716064453148,1985,5,5
-70.5,42.49915873575553,pottmp_level=5_6,10.910028076171898,1985,6,5
-70.5,42.49915873575553,pottmp_level=5_7,14.149560546875023,1985,7,5
-70.5,42.49915873575553,pottmp_level=5_8,16.749749755859398,1985,8,5
-70.5,42.49915873575553,pottmp_level=5_9,16.046289062500023,1985,9,5
-70.5,42.49915873575553,pottmp_level=5_10,12.989862060546898,1985,10,5
-70.5,42.49915873575553,pottmp_level=5_11,9.927331542968773,1985,11,5
-70.5,42.49915873575553,pottmp_level=5_12,7.136407470703148,1985,12,5
-70.5,42.49915873575553,pottmp_level=15_1,5.807336425781273,1985,1,15
-70.5,42.49915873575553,pottmp_level=15_2,4.176110839843773,1985,2,15
-70.5,42.49915873575553,pottmp_level=15_3,3.7885375976562727,1985,3,15
-70.5,42.49915873575553,pottmp_level=15_4,4.311944580078148,1985,4,15
-70.5,42.49915873575553,pottmp_level=15_5,6.663385009765648,1985,5,15
-70.5,42.49915873575553,pottmp_level=15_6,10.406488037109398,1985,6,15
-70.5,42.49915873575553,pottmp_level=15_7,11.758447265625023,1985,7,15
-70.5,42.49915873575553,pottmp_level=15_8,10.893243408203148,1985,8,15
-70.5,42.49915873575553,pottmp_level=15_9,14.805718994140648,1985,9,15
-70.5,42.49915873575553,pottmp_level=15_10,12.992913818359398,1985,10,15
-70.5,42.49915873575553,pottmp_level=15_11,9.953271484375023,1985,11,15
-70.5,42.49915873575553,pottmp_level=15_12,7.148614501953148,1985,12,15
-70.5,42.49915873575553,pottmp_level=25_1,5.804284667968773,1985,1,25
-70.5,42.49915873575553,pottmp_level=25_2,4.176110839843773,1985,2,25
-70.5,42.49915873575553,pottmp_level=25_3,3.7885375976562727,1985,3,25
-70.5,42.49915873575553,pottmp_level=25_4,4.188317871093773,1985,4,25
-70.5,42.49915873575553,pottmp_level=25_5,6.216271972656273,1985,5,25
-70.5,42.49915873575553,pottmp_level=25_6,7.957360839843773,1985,6,25
-70.5,42.49915873575553,pottmp_level=25_7,8.113000488281273,1985,7,25
-70.5,42.49915873575553,pottmp_level=25_8,6.802239990234398,1985,8,25
-70.5,42.49915873575553,pottmp_level=25_9,9.521447753906273,1985,9,25
-70.5,42.49915873575553,pottmp_level=25_10,11.044305419921898,1985,10,25
-70.5,42.49915873575553,pottmp_level=25_11,10.008203125000023,1985,11,25
-70.5,42.49915873575553,pottmp_level=25_12,7.169976806640648,1985,12,25
