long,lat,id,pottmp_c,year,month,depth_m
-70.5,42.49915873575553,pottmp_level=5_1,6.303277587890648,1991,1,5
-70.5,42.49915873575553,pottmp_level=5_2,4.626275634765648,1991,2,5
-70.5,42.49915873575553,pottmp_level=5_3,4.049462890625023,1991,3,5
-70.5,42.49915873575553,pottmp_level=5_4,4.754449462890648,1991,4,5
-70.5,42.49915873575553,pottmp_level=5_5,7.871911621093773,1991,5,5
-70.5,42.49915873575553,pottmp_level=5_6,12.986810302734398,1991,6,5
-70.5,42.49915873575553,pottmp_level=5_7,16.671929931640648,1991,7,5
-70.5,42.49915873575553,pottmp_level=5_8,17.094598388671898,1991,8,5
-70.5,42.49915873575553,pottmp_level=5_9,14.590570068359398,1991,9,5
-70.5,42.49915873575553,pottmp_level=5_10,12.533624267578148,1991,10,5
-70.5,42.49915873575553,pottmp_level=5_11,9.269647216796898,1991,11,5
-70.5,42.49915873575553,pottmp_level=5_12,6.963983154296898,1991,12,5
-70.5,42.49915873575553,pottmp_level=15_1,6.306329345703148,1991,1,15
-70.5,42.49915873575553,pottmp_level=15_2,4.623223876953148,1991,2,15
-70.5,42.49915873575553,pottmp_level=15_3,4.040307617187523,1991,3,15
-70.5,42.49915873575553,pottmp_level=15_4,4.533197021484398,1991,4,15
-70.5,42.49915873575553,pottmp_level=15_5,6.431451416015648,1991,5,15
-70.5,42.49915873575553,pottmp_level=15_6,9.669458007812523,1991,6,15
-70.5,42.49915873575553,pottmp_level=15_7,10.517877197265648,1991,7,15
-70.5,42.49915873575553,pottmp_level=15_8,8.891229248046898,1991,8,15
-70.5,42.49915873575553,pottmp_level=15_9,12.730462646484398,1991,9,15
-70.5,42.49915873575553,pottmp_level=15_10,12.428338623046898,1991,10,15
-70.5,42.49915873575553,pottmp_level=15_11,9.233026123046898,1991,11,15
-70.5,42.49915873575553,pottmp_level=15_12,6.948724365234398,1991,12,15
-70.5,42.49915873575553,pottmp_level=25_1,6.315484619140648,1991,1,25
-70.5,42.49915873575553,pottmp_level=25_2,4.626275634765648,1991,2,25
-70.5,42.49915873575553,pottmp_level=25_3,4.038781738281273,1991,3,25
-70.5,42.49915873575553,pottmp_level=25_4,4.383660888671898,1991,4,25
-70.5,42.49915873575553,pottmp_level=25_5,4.212731933593773,1991,5,25
-70.5,42.49915873575553,pottmp_level=25_6,3.6252685546875227,1991,6,25
-70.5,42.49915873575553,pottmp_level=25_7,4.321099853515648,1991,7,25
-70.5,42.49915873575553,pottmp_level=25_8,3.6954589843750227,1991,8,25
-70.5,42.49915873575553,pottmp_level=25_9,6.156762695312523,1991,9,25
-70.5,42.49915873575553,pottmp_level=25_10,8.398370361328148,1991,10,25
-70.5,42.49915873575553,pottmp_level=25_11,9.158258056640648,1991,11,25
-70.5,42.49915873575553,pottmp_level=25_12,6.930413818359398,1991,12,25
