long,lat,id,pottmp_c,year,month,depth_m
-70.5,42.49915873575553,pottmp_level=5_1,5.018426513671898,2012,1,5
-70.5,42.49915873575553,pottmp_level=5_2,4.127282714843773,2012,2,5
-70.5,42.49915873575553,pottmp_level=5_3,4.931451416015648,2012,3,5
-70.5,42.49915873575553,pottmp_level=5_4,6.452813720703148,2012,4,5
-70.5,42.49915873575553,pottmp_level=5_5,10.522454833984398,2012,5,5
-70.5,42.49915873575553,pottmp_level=5_6,14.415093994140648,2012,6,5
-70.5,42.49915873575553,pottmp_level=5_7,18.881463623046898,2012,7,5
-70.5,42.49915873575553,pottmp_level=5_8,19.949609375000023,2012,8,5
-70.5,42.49915873575553,pottmp_level=5_9,16.647515869140648,2012,9,5
-70.5,42.49915873575553,pottmp_level=5_10,12.446649169921898,2012,10,5
-70.5,42.49915873575553,pottmp_level=5_11,9.008721923828148,2012,11,5
-70.5,42.49915873575553,pottmp_level=5_12,7.261529541015648,2012,12,5
-70.5,42.49915873575553,pottmp_level=15_1,5.134393310546898,2012,1,15
-70.5,42.49915873575553,pottmp_level=15_2,4.177636718750023,2012,2,15
-70.5,42.49915873575553,pottmp_level=15_3,4.771234130859398,2012,3,15
-70.5,42.49915873575553,pottmp_level=15_4,6.188806152343773,2012,4,15
-70.5,42.49915873575553,pottmp_level=15_5,8.846978759765648,2012,5,15
-70.5,42.49915873575553,pottmp_level=15_6,11.448693847656273,2012,6,15
-70.5,42.49915873575553,pottmp_level=15_7,13.319451904296898,2012,7,15
-70.5,42.49915873575553,pottmp_level=15_8,15.022393798828148,2012,8,15
-70.5,42.49915873575553,pottmp_level=15_9,13.914575195312523,2012,9,15
-70.5,42.49915873575553,pottmp_level=15_10,11.706567382812523,2012,10,15
-70.5,42.49915873575553,pottmp_level=15_11,9.101800537109398,2012,11,15
-70.5,42.49915873575553,pottmp_level=15_12,7.307336425781273,2012,12,15
-70.5,42.49915873575553,pottmp_level=25_1,5.491479492187523,2012,1,25
-70.5,42.49915873575553,pottmp_level=25_2,4.377557373046898,2012,2,25
-70.5,42.49915873575553,pottmp_level=25_3,4.981805419921898,2012,3,25
-70.5,42.49915873575553,pottmp_level=25_4,6.150659179687523,2012,4,25
-70.5,42.49915873575553,pottmp_level=25_5,8.352593994140648,2012,5,25
-70.5,42.49915873575553,pottmp_level=25_6,9.844934082031273,2012,6,25
-70.5,42.49915873575553,pottmp_level=25_7,11.427331542968773,2012,7,25
-70.5,42.49915873575553,pottmp_level=25_8,12.994439697265648,2012,8,25
-70.5,42.49915873575553,pottmp_level=25_9,12.568719482421898,2012,9,25
-70.5,42.49915873575553,pottmp_level=25_10,10.408013916015648,2012,10,25
-70.5,42.49915873575553,pottmp_level=25_11,9.329187011718773,2012,11,25
-70.5,42.49915873575553,pottmp_level=25_12,7.499597167968773,2012,12,25
