long,lat,id,pottmp_c,year,month,depth_m
-70.5,42.49915873575553,pottmp_level=5_1,4.629327392578148,2004,1,5
-70.5,42.49915873575553,pottmp_level=5_2,2.5281311035156477,2004,2,5
-70.5,42.49915873575553,pottmp_level=5_3,2.1191650390625227,2004,3,5
-70.5,42.49915873575553,pottmp_level=5_4,3.2666870117187727,2004,4,5
-70.5,42.49915873575553,pottmp_level=5_5,7.522485351562523,2004,5,5
-70.5,42.49915873575553,pottmp_level=5_6,11.102288818359398,2004,6,5
-70.5,42.49915873575553,pottmp_level=5_7,15.803674316406273,2004,7,5
-70.5,42.49915873575553,pottmp_level=5_8,17.015252685546898,2004,8,5
-70.5,42.49915873575553,pottmp_level=5_9,16.208032226562523,2004,9,5
-70.5,42.49915873575553,pottmp_level=5_10,13.247735595703148,2004,10,5
-70.5,42.49915873575553,pottmp_level=5_11,9.376489257812523,2004,11,5
-70.5,42.49915873575553,pottmp_level=5_12,7.530114746093773,2004,12,5
-70.5,42.49915873575553,pottmp_level=15_1,4.626275634765648,2004,1,15
-70.5,42.49915873575553,pottmp_level=15_2,2.5098205566406477,2004,2,15
-70.5,42.49915873575553,pottmp_level=15_3,2.1084838867187727,2004,3,15
-70.5,42.49915873575553,pottmp_level=15_4,3.2330871582031477,2004,4,15
-70.5,42.49915873575553,pottmp_level=15_5,6.724420166015648,2004,5,15
-70.5,42.49915873575553,pottmp_level=15_6,10.104333496093773,2004,6,15
-70.5,42.49915873575553,pottmp_level=15_7,11.271661376953148,2004,7,15
-70.5,42.49915873575553,pottmp_level=15_8,10.542291259765648,2004,8,15
-70.5,42.49915873575553,pottmp_level=15_9,13.870324707031273,2004,9,15
-70.5,42.49915873575553,pottmp_level=15_10,13.247735595703148,2004,10,15
-70.5,42.49915873575553,pottmp_level=15_11,9.399377441406273,2004,11,15
-70.5,42.49915873575553,pottmp_level=15_12,7.542321777343773,2004,12,15
-70.5,42.49915873575553,pottmp_level=25_1,4.635430908203148,2004,1,25
-70.5,42.49915873575553,pottmp_level=25_2,2.5281311035156477,2004,2,25
-70.5,42.49915873575553,pottmp_level=25_3,2.1115356445312727,2004,3,25
-70.5,42.49915873575553,pottmp_level=25_4,3.1628967285156477,2004,4,25
-70.5,42.49915873575553,pottmp_level=25_5,5.070306396484398,2004,5,25
-70.5,42.49915873575553,pottmp_level=25_6,5.531152343750023,2004,6,25
-70.5,42.49915873575553,pottmp_level=25_7,5.944665527343773,2004,7,25
-70.5,42.49915873575553,pottmp_level=25_8,5.479272460937523,2004,8,25
-70.5,42.49915873575553,pottmp_level=25_9,8.712701416015648,2004,9,25
-70.5,42.49915873575553,pottmp_level=25_10,13.014276123046898,2004,10,25
-70.5,42.49915873575553,pottmp_level=25_11,9.451257324218773,2004,11,25
-70.5,42.49915873575553,pottmp_level=25_12,7.568261718750023,2004,12,25
