long,lat,id,pottmp_c,year,month,depth_m
-70.5,42.49915873575553,pottmp_level=5_1,6.804010009765648,2022,1,5
-70.5,42.49915873575553,pottmp_level=5_2,4.919000244140648,2022,2,5
-70.5,42.49915873575553,pottmp_level=5_3,4.851007080078148,2022,3,5
-70.5,42.49915873575553,pottmp_level=5_4,6.322991943359398,2022,4,5
-70.5,42.49915873575553,pottmp_level=5_5,9.623010253906273,2022,5,5
-70.5,42.49915873575553,pottmp_level=5_6,15.764062500000023,2022,6,5
-70.5,42.49915873575553,pottmp_level=5_7,19.221002197265648,2022,7,5
-70.5,42.49915873575553,pottmp_level=5_8,20.405999755859398,2022,8,5
-70.5,42.49915873575553,pottmp_level=5_9,18.106988525390648,2022,9,5
-70.5,42.49915873575553,pottmp_level=5_10,13.667077636718773,2022,10,5
-70.5,42.49915873575553,pottmp_level=5_11,11.098992919921898,2022,11,5
-70.5,42.49915873575553,pottmp_level=5_12,7.077996826171898,2022,12,5
-70.5,42.49915873575553,pottmp_level=15_1,6.796990966796898,2022,1,15
-70.5,42.49915873575553,pottmp_level=15_2,4.912988281250023,2022,2,15
-70.5,42.49915873575553,pottmp_level=15_3,4.735986328125023,2022,3,15
-70.5,42.49915873575553,pottmp_level=15_4,6.146997070312523,2022,4,15
-70.5,42.49915873575553,pottmp_level=15_5,6.462060546875023,2022,5,15
-70.5,42.49915873575553,pottmp_level=15_6,6.370996093750023,2022,6,15
-70.5,42.49915873575553,pottmp_level=15_7,7.720056152343773,2022,7,15
-70.5,42.49915873575553,pottmp_level=15_8,9.422998046875023,2022,8,15
-70.5,42.49915873575553,pottmp_level=15_9,14.137994384765648,2022,9,15
-70.5,42.49915873575553,pottmp_level=15_10,13.412988281250023,2022,10,15
-70.5,42.49915873575553,pottmp_level=15_11,11.089990234375023,2022,11,15
-70.5,42.49915873575553,pottmp_level=15_12,7.110986328125023,2022,12,15
-70.5,42.49915873575553,pottmp_level=25_1,6.803002929687523,2022,1,25
-70.5,42.49915873575553,pottmp_level=25_2,4.919000244140648,2022,2,25
-70.5,42.49915873575553,pottmp_level=25_3,4.725000000000023,2022,3,25
-70.5,42.49915873575553,pottmp_level=25_4,6.036004638671898,2022,4,25
-70.5,42.49915873575553,pottmp_level=25_5,6.382989501953148,2022,5,25
-70.5,42.49915873575553,pottmp_level=25_6,6.017999267578148,2022,6,25
-70.5,42.49915873575553,pottmp_level=25_7,7.627069091796898,2022,7,25
-70.5,42.49915873575553,pottmp_level=25_8,8.417993164062523,2022,8,25
-70.5,42.49915873575553,pottmp_level=25_9,11.477075195312523,2022,9,25
-70.5,42.49915873575553,pottmp_level=25_10,11.807061767578148,2022,10,25
-70.5,42.49915873575553,pottmp_level=25_11,10.821008300781273,2022,11,25
-70.5,42.49915873575553,pottmp_level=25_12,7.275048828125023,2022,12,25
