long,lat,id,pottmp_c,year,month,depth_m
-70.5,42.49915873575553,pottmp_level=5_1,8.326654052734398,2018,1,5
-70.5,42.49915873575553,pottmp_level=5_2,4.612542724609398,2018,2,5
-70.5,42.49915873575553,pottmp_level=5_3,5.291589355468773,2018,3,5
-70.5,42.49915873575553,pottmp_level=5_4,5.445703125000023,2018,4,5
-70.5,42.49915873575553,pottmp_level=5_5,10.476678466796898,2018,5,5
-70.5,42.49915873575553,pottmp_level=5_6,15.060540771484398,2018,6,5
-70.5,42.49915873575553,pottmp_level=5_7,19.525415039062523,2018,7,5
-70.5,42.49915873575553,pottmp_level=5_8,21.072686767578148,2018,8,5
-70.5,42.49915873575553,pottmp_level=5_9,18.280236816406273,2018,9,5
-70.5,42.49915873575553,pottmp_level=5_10,14.041223144531273,2018,10,5
-70.5,42.49915873575553,pottmp_level=5_11,9.428369140625023,2018,11,5
-70.5,42.49915873575553,pottmp_level=5_12,6.028588867187523,2018,12,5
-70.5,42.49915873575553,pottmp_level=15_1,8.338861083984398,2018,1,15
-70.5,42.49915873575553,pottmp_level=15_2,4.568292236328148,2018,2,15
-70.5,42.49915873575553,pottmp_level=15_3,5.283959960937523,2018,3,15
-70.5,42.49915873575553,pottmp_level=15_4,5.384667968750023,2018,4,15
-70.5,42.49915873575553,pottmp_level=15_5,10.496514892578148,2018,5,15
-70.5,42.49915873575553,pottmp_level=15_6,15.051385498046898,2018,6,15
-70.5,42.49915873575553,pottmp_level=15_7,18.823480224609398,2018,7,15
-70.5,42.49915873575553,pottmp_level=15_8,18.426751708984398,2018,8,15
-70.5,42.49915873575553,pottmp_level=15_9,16.911492919921898,2018,9,15
-70.5,42.49915873575553,pottmp_level=15_10,14.039697265625023,2018,10,15
-70.5,42.49915873575553,pottmp_level=15_11,9.461938476562523,2018,11,15
-70.5,42.49915873575553,pottmp_level=15_12,6.083520507812523,2018,12,15
-70.5,42.49915873575553,pottmp_level=25_1,8.343438720703148,2018,1,25
-70.5,42.49915873575553,pottmp_level=25_2,4.653741455078148,2018,2,25
-70.5,42.49915873575553,pottmp_level=25_3,5.337365722656273,2018,3,25
-70.5,42.49915873575553,pottmp_level=25_4,5.566247558593773,2018,4,25
-70.5,42.49915873575553,pottmp_level=25_5,10.624688720703148,2018,5,25
-70.5,42.49915873575553,pottmp_level=25_6,15.126153564453148,2018,6,25
-70.5,42.49915873575553,pottmp_level=25_7,17.703454589843773,2018,7,25
-70.5,42.49915873575553,pottmp_level=25_8,16.618524169921898,2018,8,25
-70.5,42.49915873575553,pottmp_level=25_9,13.812341308593773,2018,9,25
-70.5,42.49915873575553,pottmp_level=25_10,12.481744384765648,2018,10,25
-70.5,42.49915873575553,pottmp_level=25_11,9.551965332031273,2018,11,25
-70.5,42.49915873575553,pottmp_level=25_12,6.269677734375023,2018,12,25
